cell_id,lat,lon,eq_count,eq_mag_mean,eq_mag_max,eq_depth_mean,eq_energy_log,eq_days_since_last_major,cyclone_count,wind_mean,wind_max,pressure_min_mean,dist_nearest_volcano_km,volcano_count
83ecddfffffffff,-70.34460189882321,120.05939373985153,0.0,,,,,,0.0,,,,4812.605738435485,0
832010fffffffff,43.13439615207273,69.92518042754395,4.0,4.55,4.6,19.03,12.233504076351567,,0.0,,,,3832.258391239791,0
830594fffffffff,67.94215946639505,117.41305881340539,0.0,,,,,,0.0,,,,3996.2214817867393,0
838c75fffffffff,-12.12339659485765,100.22573294744365,0.0,,,,,,48.0,29.443181818181817,70.0,998.1111111111111,1191.0527367407628,0
83ad85fffffffff,-27.391384698752997,18.58511094644402,0.0,,,,,,0.0,,,,3093.086250128574,0
83419afffffffff,31.11725513739127,116.38964712122497,2.0,5.025,5.03,35.0,12.63859475265105,,15.0,39.583333333333336,45.0,1000.9666666666667,955.6249320597728,0
83b902fffffffff,-35.6558488381087,135.17957661959363,0.0,,,,,,0.0,,,,3221.6318316320517,0
830c04fffffffff,65.48076623513509,-158.65709042255284,0.0,,,,,,0.0,,,,5814.014825722079,0
834f60fffffffff,10.418081114801947,150.10050816833828,0.0,,,,,,94.0,40.63333333333333,70.0,997.0705882352942,1646.9661224796353,0
83ca15fffffffff,-41.047593554249545,53.24536729100276,0.0,,,,,,2.0,42.5,45.0,994.0,2214.234384072279,0
83a393fffffffff,-23.507806381194097,39.7394975971639,3.0,4.933333333333333,5.7,17.666666666666668,13.366296143563247,,31.0,46.5625,82.5,984.5,1362.8897120675438,0
834fb5fffffffff,18.83474353766285,162.74196894875118,0.0,,,,,,9.0,38.75,62.5,1002.0625,2814.4021303097325,0
839905fffffffff,-6.670606398098232,-8.156780839873969,0.0,,,,,,0.0,,,,2519.8199299168064,0
835f6cfffffffff,5.975208194193138,-64.80494996341439,0.0,,,,,,0.0,,,,8317.77484973851,0
83b40bfffffffff,-25.027911277226234,-159.88629192319925,0.0,,,,,,17.0,38.38235294117647,55.0,990.9705882352941,1945.1621562320286,0
